GEO_ID,NAME,S1502_C01_001E
53001,"Adams County, Washington",1457
53003,"Asotin County, Washington",3291
53005,"Benton County, Washington",37566
53007,"Chelan County, Washington",13702
53009,"Clallam County, Washington",14746
53011,"Clark County, Washington",93232
53013,"Columbia County, Washington",755
53015,"Cowlitz County, Washington",12096
53017,"Douglas County, Washington",5201
53019,"Ferry County, Washington",1038
53021,"Franklin County, Washington",9026
53023,"Garfield County, Washington",411
53025,"Grant County, Washington",10072
53027,"Grays Harbor County, Washington",8205
53029,"Island County, Washington",19576
53031,"Jefferson County, Washington",10679
53033,"King County, Washington",790809
53035,"Kitsap County, Washington",58452
53037,"Kittitas County, Washington",9371
53039,"Klickitat County, Washington",4526
53041,"Lewis County, Washington",9161
53043,"Lincoln County, Washington",1788
53045,"Mason County, Washington",8258
53047,"Okanogan County, Washington",5519
53049,"Pacific County, Washington",2943
53051,"Pend Oreille County, Washington",1985
53053,"Pierce County, Washington",152051
53055,"San Juan County, Washington",6518
53057,"Skagit County, Washington",22685
53059,"Skamania County, Washington",2039
53061,"Snohomish County, Washington",172902
53063,"Spokane County, Washington",102693
53065,"Stevens County, Washington",5818
53067,"Thurston County, Washington",68603
53069,"Wahkiakum County, Washington",607
53071,"Walla Walla County, Washington",11262
53073,"Whatcom County, Washington",48346
53075,"Whitman County, Washington",11811
53077,"Yakima County, Washington",24061
