GEO_ID,NAME,S0101_C01_001E
53001,"Adams County, Washington",19452
53003,"Asotin County, Washington",22337
53005,"Benton County, Washington",194168
53007,"Chelan County, Washington",75757
53009,"Clallam County, Washington",74487
53011,"Clark County, Washington",465384
53013,"Columbia County, Washington",4001
53015,"Cowlitz County, Washington",105112
53017,"Douglas County, Washington",41371
53019,"Ferry County, Washington",7576
53021,"Franklin County, Washington",90660
53023,"Garfield County, Washington",2224
53025,"Grant County, Washington",94860
53027,"Grays Harbor County, Washington",71967
53029,"Island County, Washington",81636
53031,"Jefferson County, Washington",30856
53033,"King County, Washington",2163257
53035,"Kitsap County, Washington",262475
53037,"Kittitas County, Washington",44825
53039,"Klickitat County, Washington",21396
53041,"Lewis County, Washington",76947
53043,"Lincoln County, Washington",10435
53045,"Mason County, Washington",62627
53047,"Okanogan County, Washington",41638
53049,"Pacific County, Washington",21281
53051,"Pend Oreille County, Washington",13219
53053,"Pierce County, Washington",859840
53055,"San Juan County, Washington",16473
53057,"Skagit County, Washington",123907
53059,"Skamania County, Washington",11620
53061,"Snohomish County, Washington",786620
53063,"Spokane County, Washington",497875
53065,"Stevens County, Washington",44214
53067,"Thurston County, Washington",274684
53069,"Wahkiakum County, Washington",4189
53071,"Walla Walla County, Washington",60236
53073,"Whatcom County, Washington",216812
53075,"Whitman County, Washington",48593
53077,"Yakima County, Washington",249325
