GEO_ID,NAME,B06009_001E
53005,"Benton County, Washington",137407
53007,"Chelan County, Washington",53916
53009,"Clallam County, Washington",60363
53011,"Clark County, Washington",352410
53015,"Cowlitz County, Washington",78862
53021,"Franklin County, Washington",56248
53025,"Grant County, Washington",62647
53027,"Grays Harbor County, Washington",56049
53029,"Island County, Washington",62812
53033,"King County, Washington",1630500
53035,"Kitsap County, Washington",195935
53041,"Lewis County, Washington",60504
53045,"Mason County, Washington",49674
53053,"Pierce County, Washington",630128
53057,"Skagit County, Washington",93248
53061,"Snohomish County, Washington",586700
53063,"Spokane County, Washington",377237
53067,"Thurston County, Washington",209608
53073,"Whatcom County, Washington",155017
53077,"Yakima County, Washington",156443
